register_name,address
MPU_RGDAAC5,0x4000d814
MPU_RGDAAC6,0x4000d818
MPU_RGDAAC7,0x4000d81c
MPU_RGDAAC8,0x4000d820
MPU_RGDAAC9,0x4000d824
MPU_RGDAAC10,0x4000d828
MPU_RGDAAC11,0x4000d82c
FMC_PFAPR,0x4001f000
FMC_PFB0CR,0x4001f004
FMC_TAGVDW0S1,0x4001f104
FMC_TAGVDW0S2,0x4001f108
FMC_TAGVDW0S3,0x4001f10c
FMC_TAGVDW0S4,0x4001f110
FMC_TAGVDW0S5,0x4001f114
FMC_TAGVDW0S6,0x4001f118
FMC_TAGVDW0S7,0x4001f11c
FMC_TAGVDW1S0,0x4001f120
FMC_TAGVDW1S1,0x4001f124
FMC_TAGVDW1S2,0x4001f128
FMC_TAGVDW1S3,0x4001f12c
FMC_TAGVDW1S4,0x4001f130
FMC_TAGVDW1S5,0x4001f134
FMC_TAGVDW1S6,0x4001f138
FMC_TAGVDW1S7,0x4001f13c
FMC_TAGVDW2S0,0x4001f140
FMC_TAGVDW2S1,0x4001f144
FMC_TAGVDW2S2,0x4001f148
FMC_TAGVDW2S3,0x4001f14c
FMC_TAGVDW2S4,0x4001f150
FMC_TAGVDW2S5,0x4001f154
FMC_TAGVDW2S6,0x4001f158
FMC_TAGVDW2S7,0x4001f15c
FMC_TAGVDW3S0,0x4001f160
FMC_TAGVDW3S1,0x4001f164
FMC_TAGVDW3S2,0x4001f168
FMC_TAGVDW3S3,0x4001f16c
FMC_TAGVDW3S4,0x4001f170
FMC_TAGVDW3S5,0x4001f174
FMC_TAGVDW3S6,0x4001f178
FMC_TAGVDW3S7,0x4001f17c
FMC_DATAW0S0U,0x4001f200
FMC_DATAW0S0L,0x4001f204
FMC_DATAW0S1U,0x4001f208
FMC_DATAW0S1L,0x4001f20c
FMC_DATAW0S2U,0x4001f210
FMC_DATAW0S2L,0x4001f214
FMC_DATAW0S3U,0x4001f218
FMC_DATAW0S3L,0x4001f21c
FMC_DATAW0S4U,0x4001f220
FMC_DATAW0S4L,0x4001f224
FMC_DATAW0S5U,0x4001f228
FMC_DATAW0S5L,0x4001f22c
FMC_DATAW0S6U,0x4001f230
FMC_DATAW0S6L,0x4001f234
FMC_DATAW0S7U,0x4001f238
FMC_DATAW0S7L,0x4001f23c
FMC_DATAW1S0U,0x4001f240
FMC_DATAW1S0L,0x4001f244
FMC_DATAW1S1U,0x4001f248
FMC_DATAW1S1L,0x4001f24c
FMC_DATAW1S2U,0x4001f250
FMC_DATAW1S2L,0x4001f254
FMC_DATAW1S3U,0x4001f258
FMC_DATAW1S3L,0x4001f25c
FMC_DATAW1S4U,0x4001f260
FMC_DATAW1S4L,0x4001f264
FMC_DATAW1S5U,0x4001f268
FMC_DATAW1S5L,0x4001f26c
FMC_DATAW1S6U,0x4001f270
FMC_DATAW1S6L,0x4001f274
FMC_DATAW1S7U,0x4001f278
FMC_DATAW1S7L,0x4001f27c
FMC_DATAW2S0U,0x4001f280
FMC_DATAW2S0L,0x4001f284
FMC_DATAW2S1U,0x4001f288
FMC_DATAW2S1L,0x4001f28c
FMC_DATAW2S2U,0x4001f290
FMC_DATAW2S2L,0x4001f294
FMC_DATAW2S3U,0x4001f298
FMC_DATAW2S3L,0x4001f29c
FMC_DATAW2S4U,0x4001f2a0
FMC_DATAW2S4L,0x4001f2a4
FMC_DATAW2S5U,0x4001f2a8
FMC_DATAW2S5L,0x4001f2ac
FMC_DATAW2S6U,0x4001f2b0
FMC_DATAW2S6L,0x4001f2b4
FMC_DATAW2S7U,0x4001f2b8
FMC_DATAW2S7L,0x4001f2bc
FMC_DATAW3S0U,0x4001f2c0
FMC_DATAW3S0L,0x4001f2c4
FMC_DATAW3S1U,0x4001f2c8
FMC_DATAW3S1L,0x4001f2cc
FMC_DATAW3S2U,0x4001f2d0
FMC_DATAW3S2L,0x4001f2d4
FMC_DATAW3S3U,0x4001f2d8
FMC_DATAW3S3L,0x4001f2dc
FMC_DATAW3S4U,0x4001f2e0
FMC_DATAW3S4L,0x4001f2e4
FMC_DATAW3S5U,0x4001f2e8
FMC_DATAW3S5L,0x4001f2ec
FMC_DATAW3S6U,0x4001f2f0
FMC_DATAW3S6L,0x4001f2f4
FMC_DATAW3S7U,0x4001f2f8
FMC_DATAW3S7L,0x4001f2fc
FTFL_FSTAT,0x40020000
FTFL_FCNFG,0x40020001
FTFL_FSEC,0x40020002
FTFL_FOPT,0x40020003
FTFL_FCCOB3,0x40020004
FTFL_FCCOB2,0x40020005
FTFL_FCCOB1,0x40020006
FTFL_FCCOB0,0x40020007
FTFL_FCCOB7,0x40020008
FTFL_FCCOB6,0x40020009
FTFL_FCCOB5,0x4002000a
FTFL_FCCOB4,0x4002000b
FTFL_FCCOBB,0x4002000c
FTFL_FCCOBA,0x4002000d
FTFL_FCCOB9,0x4002000e
FTFL_FCCOB8,0x4002000f
FTFL_FPROT3,0x40020010
FTFL_FPROT2,0x40020011
FTFL_FPROT1,0x40020012
FTFL_FPROT0,0x40020013
FTFL_FEPROT,0x40020016
FTFL_FDPROT,0x40020017
DMAMUX_CHCFG0,0x40021000
DMAMUX_CHCFG1,0x40021001
DMAMUX_CHCFG2,0x40021002
DMAMUX_CHCFG3,0x40021003
DMAMUX_CHCFG4,0x40021004
DMAMUX_CHCFG5,0x40021005
DMAMUX_CHCFG6,0x40021006
DMAMUX_CHCFG7,0x40021007
